央视卫视,#genre#
CGTN-阿语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN-俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN-纪录,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
北京卫视,http://58.221.214.82:9901/tsfile/live/0122_1.m3u8
天津卫视,http://58.221.214.82:9901/tsfile/live/0135_1.m3u8
东方卫视,http://58.221.214.82:9901/tsfile/live/0107_1.m3u8
东南卫视,http://58.221.214.82:9901/tsfile/live/0137_1.m3u8
海南卫视,http://58.221.214.82:9901/tsfile/live/0016_2.m3u8
广东卫视,http://58.221.214.82:9901/tsfile/live/0125_1.m3u8
广西卫视,http://58.221.214.82:9901/tsfile/live/0113_1.m3u8
深圳卫视,http://58.221.214.82:9901/tsfile/live/0126_1.m3u8
江苏卫视,http://58.221.214.82:9901/tsfile/live/0127_1.m3u8
江西卫视,http://58.221.214.82:9901/tsfile/live/0138_1.m3u8
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8
湖北卫视,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8
安徽卫视,http://58.221.214.82:9901/tsfile/live/0130_1.m3u8
山东卫视,http://58.221.214.82:9901/tsfile/live/0131_1.m3u8
山西卫视,http://58.221.214.82:9901/tsfile/live/0017_1.m3u8
教育卫视,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://58.221.214.82:9901/tsfile/live/0139_1.m3u8
河北卫视,http://58.220.219.14:9901/tsfile/live/0117_1.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8?
龙江卫视,http://58.221.214.82:9901/tsfile/live/0143_1.m3u8
吉林卫视,http://58.221.214.82:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://58.221.214.82:9901/tsfile/live/0121_1.m3u8
云南卫视,http://58.220.219.14:9901/tsfile/live/0119_1.m3u8
贵州卫视,http://58.221.214.82:9901/tsfile/live/0120_1.m3u8
